Year,Sport,NOC,Sex,Legendary_Index,Predicted_Legendary_Coach
1992,Archery,NOR,M,0.37866002,False
1996,Archery,NOR,M,0.544598,False
2000,Archery,NOR,M,0.544598,False
2012,Archery,NOR,M,0.544598,False
2016,Archery,NOR,M,0.544598,False
1984,Archery,NZL,F,0.36292055,False
1988,Archery,NZL,F,0.36292055,False
1992,Archery,NZL,F,0.37866002,False
1972,Archery,NZL,M,0.3548772,False
1984,Archery,NZL,M,0.36292055,False
1996,Archery,NZL,M,0.544598,False
2000,Archery,NZL,M,0.544598,False
2004,Archery,NZL,M,0.544598,False
1988,Archery,PHI,F,0.36292055,False
2000,Archery,PHI,F,0.544598,False
2004,Archery,PHI,F,0.544598,False
2012,Archery,PHI,F,0.544598,False
1972,Archery,PHI,M,0.3548772,False
1988,Archery,PHI,M,0.36292055,False
2008,Archery,PHI,M,0.544598,False
2012,Archery,PHI,M,0.544598,False
1972,Archery,POL,F,0.36004958,False
1976,Archery,POL,F,0.3548772,False
1980,Archery,POL,F,0.3548772,False
1988,Archery,POL,F,0.36292055,False
1992,Archery,POL,F,0.37866002,False
1996,Archery,POL,F,0.57598037,False
2000,Archery,POL,F,0.544598,False
2004,Archery,POL,F,0.544598,False
2008,Archery,POL,F,0.544598,False
2012,Archery,POL,F,0.544598,False
2016,Archery,POL,F,0.544598,False
2020,Archery,POL,F,0.544598,False
2024,Archery,POL,F,0.544598,False
1972,Archery,POL,M,0.3548772,False
1976,Archery,POL,M,0.3548772,False
1980,Archery,POL,M,0.3548772,False
1992,Archery,POL,M,0.37866002,False
1996,Archery,POL,M,0.544598,False
2000,Archery,POL,M,0.544598,False
2004,Archery,POL,M,0.544598,False
2008,Archery,POL,M,0.544598,False
2012,Archery,POL,M,0.544598,False
2020,Archery,POL,M,0.544598,False
1988,Archery,POR,F,0.36292055,False
1992,Archery,POR,F,0.37866002,False
1984,Archery,POR,M,0.36292055,False
1988,Archery,POR,M,0.36292055,False
1996,Archery,POR,M,0.544598,False
2000,Archery,POR,M,0.544598,False
